source,target,weight
-fladookw,kruxill🎃,0.7043
-fladookw,l3o m,0.6844
-fladookw,lah iya,0.6624
-fladookw,lah?kenapa?,0.7069
-fladookw,lele_byakar@gmail.comm,0.6928
-fladookw,lihgal18,0.6957
-fladookw,mas_dawet,0.6513
-fladookw,mawar hitam 🌹🗡️,0.7145
-fladookw,mawarr,0.6588
-fladookw,mbahnya nafisha dan sava,0.6949
-fladookw,mengomentari postingan anda,0.7586
-fladookw,mhrullam,0.6776
-fladookw,nadhiff👾,0.689
-fladookw,ndre4you,0.7049
-fladookw,nggaaa,0.6632
-fladookw,nino,0.6722
-fladookw,nobody,0.7184
-fladookw,nur fadil,0.6975
-fladookw,nuuuu,0.6701
-fladookw,nuuuuu,0.6766
-fladookw,ol²²oy,0.7129
-fladookw,pak haji sara,0.7078
-fladookw,patirrrv2🖤,0.6767
-fladookw,pisangambon,0.6825
-fladookw,praditailhm_,0.6842
-fladookw,princess 💅,0.662
-fladookw,put,0.7099
-fladookw,qila012,0.6763
-fladookw,raf,0.6863
-fladookw,rahmanpru,0.6653
-fladookw,regialparij,0.7017
-fladookw,ryy_,0.6795
-fladookw,rℹ️k🅾️🅾️🅾️,0.7564
-fladookw,samshl_22,0.6742
-fladookw,sara ariska,0.6627
-fladookw,satria 🙌,0.6911
-fladookw,satyaa ✦,0.6698
-fladookw,scc winoww,0.6695
